instance         | our makespan | microsec   | deviation from given makespans
j12042_7.sm      | 132          | 344100     | 3,13
j12042_8.sm      | 131          | 337500     | 10,08
j12042_9.sm      | 118          | 308400     | 5,36
j12043_1.sm      | 112          | 335900     | 4,67
j12043_10.sm     | 120          | 234100     | 6,19
j12043_2.sm      | 121          | 328100     | 0,83
j12043_3.sm      | 105          | 375400     | 7,14
j12043_4.sm      | 113          | 393500     | 6,60
j12043_5.sm      | 116          | 394400     | 6,42
j12043_6.sm      | 115          | 332400     | 12,75
j12043_7.sm      | 141          | 340100     | 15,57
j12043_8.sm      | 121          | 329500     | 5,22
j12043_9.sm      | 113          | 320200     | 3,67
j12044_1.sm      | 101          | 358600     | 1,00
j12044_10.sm     | 103          | 336900     | -0,96  New Best Makespan!
j12044_2.sm      | 117          | 347500     | 4,46
j12044_3.sm      | 107          | 295400     | 0,00
j12044_4.sm      | 102          | 307400     | 3,03
j12044_5.sm      | 98           | 335100     | -3,92  New Best Makespan!
j12044_6.sm      | 110          | 217800     | 3,77
j12044_7.sm      | 98           | 357200     | -4,85  New Best Makespan!
j12044_8.sm      | 111          | 339100     | -2,63  New Best Makespan!
j12044_9.sm      | 92           | 327800     | 1,10
j12045_1.sm      | 108          | 320000     | 0,00
j12045_10.sm     | 99           | 314900     | 0,00
j12045_2.sm      | 92           | 304900     | 1,10
j12045_3.sm      | 98           | 323100     | 0,00
j12045_4.sm      | 103          | 335700     | -0,96  New Best Makespan!
j12045_5.sm      | 117          | 329600     | -1,68  New Best Makespan!
j12045_6.sm      | 125          | 335100     | 0,00
j12045_7.sm      | 103          | 229000     | 0,00
j12045_8.sm      | 104          | 385800     | 0,97
j12045_9.sm      | 114          | 340400     | 0,00
j12046_1.sm      | 239          | 384800     | 14,35
j12046_10.sm     | 246          | 402500     | 10,31
j12046_2.sm      | 258          | 386700     | 18,35
j12046_3.sm      | 217          | 406000     | 10,15
j12046_4.sm      | 204          | 331400     | 5,70
j12046_5.sm      | 198          | 367100     | 18,56
j12046_6.sm      | 228          | 348200     | 22,58
j12046_7.sm      | 205          | 336900     | 8,47
j12046_8.sm      | 216          | 366100     | 13,68
j12046_9.sm      | 219          | 408700     | 17,74
j12047_1.sm      | 173          | 331600     | 10,19
j12047_10.sm     | 166          | 357100     | 15,28
j12047_2.sm      | 163          | 338000     | 11,64
j12047_3.sm      | 151          | 337300     | 4,86
j12047_4.sm      | 161          | 335200     | 6,62
j12047_5.sm      | 155          | 242400     | 8,39
j12047_6.sm      | 172          | 245700     | 10,97
j12047_7.sm      | 142          | 230500     | 4,41
j12047_8.sm      | 172          | 231800     | 13,91
j12047_9.sm      | 171          | 237500     | 8,23
j12048_1.sm      | 116          | 400200     | 7,41
j12048_10.sm     | 135          | 235900     | 13,45
j12048_2.sm      | 134          | 227400     | 12,61
j12048_3.sm      | 134          | 230100     | 9,84
j12048_4.sm      | 149          | 229300     | 8,76
j12048_5.sm      | 131          | 238000     | 10,08
j12048_6.sm      | 121          | 227500     | 7,08
j12048_7.sm      | 125          | 235400     | 7,76
j12048_8.sm      | 129          | 231300     | 7,50
j12048_9.sm      | 133          | 228800     | 10,83
j12049_1.sm      | 101          | 234200     | 5,21
j12049_10.sm     | 112          | 220600     | 9,80
j12049_2.sm      | 126          | 232400     | 5,00
j12049_3.sm      | 111          | 226300     | 8,82
j12049_4.sm      | 114          | 370700     | 8,57
j12049_5.sm      | 104          | 223200     | 10,64
